experiment,basis,selected_lambda,storm_id,model,rmse_nt,mae_nt,correlation,pe,min_dst_star_observed_nt,anchor_index,n_points,anchor_catalog_index,driver_start_catalog_index,driver_end_catalog_index,scored_catalog_indices,cohort_signature_sha256
C20-22->C23,full,186.71810912919207,283,SINDy,7.422588683607246,5.948510302652048,0.7725242688810912,0.5638316626998034,-52.13031716755455,1,79,295034,295034,295113,295035;295036;295037;295038;295039;295040;295041;295042;295043;295044;295045;295046;295047;295048;295049;295050;295051;295052;295053;295054;295055;295056;295057;295058;295059;295060;295061;295062;295063;295064;295065;295066;295067;295068;295069;295070;295071;295072;295073;295074;295075;295076;295077;295078;295079;295080;295081;295082;295083;295084;295085;295086;295087;295088;295089;295090;295091;295092;295093;295094;295095;295096;295097;295098;295099;295100;295101;295102;295103;295104;295105;295106;295107;295108;295109;295110;295111;295112;295113,1bee5b57bc4a4a01dfa2edae39f7181104ffcd7931846eb6eed03d278ae97540
C20-22->C23,full,186.71810912919207,283,Burton,8.71587104068979,6.861722768479556,0.7264464234039343,0.3985979044193121,-52.13031716755455,1,79,295034,295034,295113,295035;295036;295037;295038;295039;295040;295041;295042;295043;295044;295045;295046;295047;295048;295049;295050;295051;295052;295053;295054;295055;295056;295057;295058;295059;295060;295061;295062;295063;295064;295065;295066;295067;295068;295069;295070;295071;295072;295073;295074;295075;295076;295077;295078;295079;295080;295081;295082;295083;295084;295085;295086;295087;295088;295089;295090;295091;295092;295093;295094;295095;295096;295097;295098;295099;295100;295101;295102;295103;295104;295105;295106;295107;295108;295109;295110;295111;295112;295113,1bee5b57bc4a4a01dfa2edae39f7181104ffcd7931846eb6eed03d278ae97540
C20-22->C23,full,186.71810912919207,283,BurtonFull,12.736943817603366,11.197057145898539,0.6580435223001228,-0.28432167397945785,-52.13031716755455,1,79,295034,295034,295113,295035;295036;295037;295038;295039;295040;295041;295042;295043;295044;295045;295046;295047;295048;295049;295050;295051;295052;295053;295054;295055;295056;295057;295058;295059;295060;295061;295062;295063;295064;295065;295066;295067;295068;295069;295070;295071;295072;295073;295074;295075;295076;295077;295078;295079;295080;295081;295082;295083;295084;295085;295086;295087;295088;295089;295090;295091;295092;295093;295094;295095;295096;295097;295098;295099;295100;295101;295102;295103;295104;295105;295106;295107;295108;295109;295110;295111;295112;295113,1bee5b57bc4a4a01dfa2edae39f7181104ffcd7931846eb6eed03d278ae97540
C20-22->C23,full,186.71810912919207,283,OBrienMcP,7.423242363339048,6.156964887819121,0.7646498014128145,0.563754835876068,-52.13031716755455,1,79,295034,295034,295113,295035;295036;295037;295038;295039;295040;295041;295042;295043;295044;295045;295046;295047;295048;295049;295050;295051;295052;295053;295054;295055;295056;295057;295058;295059;295060;295061;295062;295063;295064;295065;295066;295067;295068;295069;295070;295071;295072;295073;295074;295075;295076;295077;295078;295079;295080;295081;295082;295083;295084;295085;295086;295087;295088;295089;295090;295091;295092;295093;295094;295095;295096;295097;295098;295099;295100;295101;295102;295103;295104;295105;295106;295107;295108;295109;295110;295111;295112;295113,1bee5b57bc4a4a01dfa2edae39f7181104ffcd7931846eb6eed03d278ae97540
C20-22->C23,full,186.71810912919207,284,SINDy,9.601994617666266,7.939961592584829,0.18351972649977527,-0.42549573435867827,-54.34791710652078,1,100,295353,295353,295453,295354;295355;295356;295357;295358;295359;295360;295361;295362;295363;295364;295365;295366;295367;295368;295369;295370;295371;295372;295373;295374;295375;295376;295377;295378;295379;295380;295381;295382;295383;295384;295385;295386;295387;295388;295389;295390;295391;295392;295393;295394;295395;295396;295397;295398;295399;295400;295401;295402;295403;295404;295405;295406;295407;295408;295409;295410;295411;295412;295413;295414;295415;295416;295417;295418;295419;295420;295421;295422;295423;295424;295425;295426;295427;295428;295429;295430;295431;295432;295433;295434;295435;295436;295437;295438;295439;295440;295441;295442;295443;295444;295445;295446;295447;295448;295449;295450;295451;295452;295453,b7faf55bab5e2cdeb5db49baec2267bb9aea198d30af2272751137620b2e48f0
C20-22->C23,full,186.71810912919207,284,Burton,7.630273885501017,6.311765343905035,0.654270692264663,0.09983264333975894,-54.34791710652078,1,100,295353,295353,295453,295354;295355;295356;295357;295358;295359;295360;295361;295362;295363;295364;295365;295366;295367;295368;295369;295370;295371;295372;295373;295374;295375;295376;295377;295378;295379;295380;295381;295382;295383;295384;295385;295386;295387;295388;295389;295390;295391;295392;295393;295394;295395;295396;295397;295398;295399;295400;295401;295402;295403;295404;295405;295406;295407;295408;295409;295410;295411;295412;295413;295414;295415;295416;295417;295418;295419;295420;295421;295422;295423;295424;295425;295426;295427;295428;295429;295430;295431;295432;295433;295434;295435;295436;295437;295438;295439;295440;295441;295442;295443;295444;295445;295446;295447;295448;295449;295450;295451;295452;295453,b7faf55bab5e2cdeb5db49baec2267bb9aea198d30af2272751137620b2e48f0
C20-22->C23,full,186.71810912919207,284,BurtonFull,11.409125584899469,9.944318784132783,0.6665908853963128,-1.0125548568834994,-54.34791710652078,1,100,295353,295353,295453,295354;295355;295356;295357;295358;295359;295360;295361;295362;295363;295364;295365;295366;295367;295368;295369;295370;295371;295372;295373;295374;295375;295376;295377;295378;295379;295380;295381;295382;295383;295384;295385;295386;295387;295388;295389;295390;295391;295392;295393;295394;295395;295396;295397;295398;295399;295400;295401;295402;295403;295404;295405;295406;295407;295408;295409;295410;295411;295412;295413;295414;295415;295416;295417;295418;295419;295420;295421;295422;295423;295424;295425;295426;295427;295428;295429;295430;295431;295432;295433;295434;295435;295436;295437;295438;295439;295440;295441;295442;295443;295444;295445;295446;295447;295448;295449;295450;295451;295452;295453,b7faf55bab5e2cdeb5db49baec2267bb9aea198d30af2272751137620b2e48f0
C20-22->C23,full,186.71810912919207,284,OBrienMcP,5.580030482054086,4.468203439269387,0.7214248140016105,0.5185888459726159,-54.34791710652078,1,100,295353,295353,295453,295354;295355;295356;295357;295358;295359;295360;295361;295362;295363;295364;295365;295366;295367;295368;295369;295370;295371;295372;295373;295374;295375;295376;295377;295378;295379;295380;295381;295382;295383;295384;295385;295386;295387;295388;295389;295390;295391;295392;295393;295394;295395;295396;295397;295398;295399;295400;295401;295402;295403;295404;295405;295406;295407;295408;295409;295410;295411;295412;295413;295414;295415;295416;295417;295418;295419;295420;295421;295422;295423;295424;295425;295426;295427;295428;295429;295430;295431;295432;295433;295434;295435;295436;295437;295438;295439;295440;295441;295442;295443;295444;295445;295446;295447;295448;295449;295450;295451;295452;295453,b7faf55bab5e2cdeb5db49baec2267bb9aea198d30af2272751137620b2e48f0
C20-22->C23,full,186.71810912919207,285,SINDy,10.479684432679068,8.756730464392557,0.40749138194223095,-0.11745385417109877,-52.06121074138453,1,160,295634,295634,295794,295635;295636;295637;295638;295639;295640;295641;295642;295643;295644;295645;295646;295647;295648;295649;295650;295651;295652;295653;295654;295655;295656;295657;295658;295659;295660;295661;295662;295663;295664;295665;295666;295667;295668;295669;295670;295671;295672;295673;295674;295675;295676;295677;295678;295679;295680;295681;295682;295683;295684;295685;295686;295687;295688;295689;295690;295691;295692;295693;295694;295695;295696;295697;295698;295699;295700;295701;295702;295703;295704;295705;295706;295707;295708;295709;295710;295711;295712;295713;295714;295715;295716;295717;295718;295719;295720;295721;295722;295723;295724;295725;295726;295727;295728;295729;295730;295731;295732;295733;295734;295735;295736;295737;295738;295739;295740;295741;295742;295743;295744;295745;295746;295747;295748;295749;295750;295751;295752;295753;295754;295755;295756;295757;295758;295759;295760;295761;295762;295763;295764;295765;295766;295767;295768;295769;295770;295771;295772;295773;295774;295775;295776;295777;295778;295779;295780;295781;295782;295783;295784;295785;295786;295787;295788;295789;295790;295791;295792;295793;295794,8748cbd081199fefede9b561cbaf5db11656ab63b6c7c0475c7a2fbd9f11c79b
C20-22->C23,full,186.71810912919207,285,Burton,12.432417517526929,9.321758587137698,0.4391011964783193,-0.5726944728277965,-52.06121074138453,1,160,295634,295634,295794,295635;295636;295637;295638;295639;295640;295641;295642;295643;295644;295645;295646;295647;295648;295649;295650;295651;295652;295653;295654;295655;295656;295657;295658;295659;295660;295661;295662;295663;295664;295665;295666;295667;295668;295669;295670;295671;295672;295673;295674;295675;295676;295677;295678;295679;295680;295681;295682;295683;295684;295685;295686;295687;295688;295689;295690;295691;295692;295693;295694;295695;295696;295697;295698;295699;295700;295701;295702;295703;295704;295705;295706;295707;295708;295709;295710;295711;295712;295713;295714;295715;295716;295717;295718;295719;295720;295721;295722;295723;295724;295725;295726;295727;295728;295729;295730;295731;295732;295733;295734;295735;295736;295737;295738;295739;295740;295741;295742;295743;295744;295745;295746;295747;295748;295749;295750;295751;295752;295753;295754;295755;295756;295757;295758;295759;295760;295761;295762;295763;295764;295765;295766;295767;295768;295769;295770;295771;295772;295773;295774;295775;295776;295777;295778;295779;295780;295781;295782;295783;295784;295785;295786;295787;295788;295789;295790;295791;295792;295793;295794,8748cbd081199fefede9b561cbaf5db11656ab63b6c7c0475c7a2fbd9f11c79b
C20-22->C23,full,186.71810912919207,285,BurtonFull,14.31176374535683,12.468366928503597,0.4529014408374932,-1.084104561248222,-52.06121074138453,1,160,295634,295634,295794,295635;295636;295637;295638;295639;295640;295641;295642;295643;295644;295645;295646;295647;295648;295649;295650;295651;295652;295653;295654;295655;295656;295657;295658;295659;295660;295661;295662;295663;295664;295665;295666;295667;295668;295669;295670;295671;295672;295673;295674;295675;295676;295677;295678;295679;295680;295681;295682;295683;295684;295685;295686;295687;295688;295689;295690;295691;295692;295693;295694;295695;295696;295697;295698;295699;295700;295701;295702;295703;295704;295705;295706;295707;295708;295709;295710;295711;295712;295713;295714;295715;295716;295717;295718;295719;295720;295721;295722;295723;295724;295725;295726;295727;295728;295729;295730;295731;295732;295733;295734;295735;295736;295737;295738;295739;295740;295741;295742;295743;295744;295745;295746;295747;295748;295749;295750;295751;295752;295753;295754;295755;295756;295757;295758;295759;295760;295761;295762;295763;295764;295765;295766;295767;295768;295769;295770;295771;295772;295773;295774;295775;295776;295777;295778;295779;295780;295781;295782;295783;295784;295785;295786;295787;295788;295789;295790;295791;295792;295793;295794,8748cbd081199fefede9b561cbaf5db11656ab63b6c7c0475c7a2fbd9f11c79b
