term,median_coefficient,inclusion_probability
1,2.633346553277365,1.0
V,-0.012335350604626186,0.995
Bs,-6.710285412189583,1.0
n,0.05124000110778036,0.995
Pdyn,-0.5841004142622142,0.995
Dst_star,-0.12522793321058173,1.0
V^2,1.9816247925675847e-5,0.98
Bs^2,0.015532841857386103,0.925
n^2,0.03267885247699564,0.99
V*Bs,0.005716903504025557,0.995
n*V,-0.0005450493952332477,0.99
n*Bs,0.049047269138821147,0.99
Pdyn*Bs,-1.084337918821415,1.0
n*V*Bs,0.0009822293804036312,1.0
sin(θ_c/2),2.822957758898821,0.915
sin²(θ_c/2),-20.07166326624183,0.985
sin⁴(θ_c/2),-8.92833487286078,0.97
sin^(8/3)(θ_c/2),22.72011308812169,0.995
V*sin²(θ_c/2),0.0074926318262504305,0.99
Newell_d_Φ,3.4472850694295664e-5,0.84
