term,median_coefficient,inclusion_probability
1,234.3872380569858,0.422
V,-0.9670236098070881,0.44
Bs,-8.60470364087333,0.456
n,-20.66503708807045,0.46
Pdyn,-41.42003440328643,0.306
Dst_star,0.0,0.0
V^2,0.0010986064322161238,0.426
Bs^2,0.0,0.0
n^2,0.0,0.0
V*Bs,0.01349781149788954,0.456
n*V,0.08847353791093081,0.476
n*Bs,3.361608209361684,0.608
Pdyn*Bs,6.628676095894966,0.708
n*V*Bs,-0.010619090266012505,0.796
n*V^2,-6.917145745354356e-5,0.306
sin(θ_c/2),0.0,0.0
sin²(θ_c/2),0.0,0.0
sin⁴(θ_c/2),0.0,0.0
sin^(8/3)(θ_c/2),0.0,0.0
V*sin²(θ_c/2),0.0,0.0
Newell_d_Φ,0.0,0.0
