term,median_coefficient,inclusion_probability
1,-2.9584083951140094,0.995
V,0.008920988095365864,0.995
Bs,3.8563216883644413,1.0
n,3.7354311755121845,0.99
Pdyn,9.465339894836319,1.0
Dst_star,-0.11814600250879706,1.0
V^2,-1.9536641125192247e-6,0.995
Bs^2,0.015155167312629171,1.0
n^2,0.020898668809032933,0.995
V*Bs,-0.012114125170632789,1.0
n*V,-0.015961727889715005,1.0
n*Bs,-1.820302128548858,1.0
Pdyn*Bs,-3.1391991869611147,1.0
n*V*Bs,0.006210543900641883,1.0
sin(θ_c/2),-3.7380076511758076,0.99
sin²(θ_c/2),27.32380528060881,1.0
sin⁴(θ_c/2),16.705539763109577,1.0
sin^(8/3)(θ_c/2),-41.64009222968426,1.0
V*sin²(θ_c/2),0.00297916777352865,0.945
Newell_d_Φ,0.00010526310934371165,0.96
