term,inclusion_prob,median_coef,ci_025,ci_975
1,0.008,1.4299646881616246,1.151060727968451,1.5428627551975058
V,0.008,-0.005113482859573973,-0.006212188942946508,-0.0044486347108550085
Bs,1.0,-0.8956975453183735,-0.9108146968122502,-0.8781343600646784
n,0.002,-0.18480138899867882,-0.18480138899867882,-0.18480138899867882
Pdyn,0.0,0.0,0.0,0.0
Dst_star,1.0,-0.0492960598596269,-0.050416846606122764,-0.04819315486709493
V^2,0.008,4.3719914210748565e-6,4.01106446568206e-6,5.290821084273773e-6
Bs^2,0.0,0.0,0.0,0.0
n^2,0.0,0.0,0.0,0.0
V*Bs,0.0,0.0,0.0,0.0
n*V,1.0,0.0005936804913632551,0.000563383425118175,0.000626222210546552
n*Bs,0.002,0.04937054420160922,0.04937054420160922,0.04937054420160922
Pdyn*Bs,0.002,0.05164385176223209,0.05164385176223209,0.05164385176223209
n*V*Bs,0.002,-0.00019327694793817716,-0.00019327694793817716,-0.00019327694793817716
n*V^2,1.0,-1.7921999937876422e-6,-1.8671074235933006e-6,-1.7189571668011458e-6
sin(θ_c/2),1.0,11.17889440611322,10.481758278928922,11.893032814742005
sin²(θ_c/2),1.0,-58.65514916597801,-62.499443781531205,-54.44547621236735
sin⁴(θ_c/2),1.0,-14.547141241327694,-16.080850604580352,-13.043031063503621
sin^(8/3)(θ_c/2),1.0,63.654033021503096,58.73331238187064,68.3653397645894
V*sin²(θ_c/2),0.0,0.0,0.0,0.0
Newell_d_Φ,0.0,0.0,0.0,0.0
