term,inclusion_probability,nonzero_draws,structural_zero_draws,conditional_nonzero_median,conditional_nonzero_empirical_q025,conditional_nonzero_empirical_q975,interval_kind,confidence_interval,subsample_without_replacement,subsample_fraction,lambda,draws,seed
1,0.064,32,468,1.6724175921790114,1.511345642205922,2.098645436097984,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
V,0.064,32,468,-0.005892984124765955,-0.007817545546264258,-0.005371337356297095,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Bs,1.0,500,0,-0.7337307815433094,-0.7579696254075841,-0.7090729711891122,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
n,0.132,66,434,-0.13676953800651898,-0.22501253066967186,-0.10191705822950396,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Pdyn,1.0,500,0,-0.9058723466734006,-1.2582740066394473,-0.8492066995028946,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Dst_star,1.0,500,0,-0.052574684264633985,-0.054030134552107964,-0.05131650378744307,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
V^2,0.064,32,468,4.046288750777867e-6,3.6350637684340434e-6,6.116880346750011e-6,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Bs^2,0.0,0,500,NaN,NaN,NaN,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
n^2,0.0,0,500,NaN,NaN,NaN,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
V*Bs,0.0,0,500,NaN,NaN,NaN,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
n*V,1.0,500,0,0.0005491643370026813,0.0005082046860720841,0.0012619352044942265,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
n*Bs,0.992,496,4,0.060234453176629926,0.04367436108428818,0.07716146095573351,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Pdyn*Bs,0.968,484,16,0.09234380537519092,0.06027714038949154,0.1261130816844706,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
n*V*Bs,0.992,496,4,-0.00024130840046434043,-0.00030759686474793975,-0.00017576080244937492,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
sin(θ_c/2),1.0,500,0,7.138388783915565,6.3690069036771675,8.94718168559346,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
sin²(θ_c/2),1.0,500,0,-39.83859098508005,-47.4901585973212,-35.64525884398594,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
sin⁴(θ_c/2),1.0,500,0,-9.63666944148024,-11.612478004438326,-7.961674417034898,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
sin^(8/3)(θ_c/2),1.0,500,0,43.23965421007563,38.04697013454578,51.43182726310139,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
V*sin²(θ_c/2),0.0,0,500,NaN,NaN,NaN,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
Newell_d_Φ,0.0,0,500,NaN,NaN,NaN,conditional_nonzero_empirical_row_subsample_interval,false,true,0.8,186.71810912919207,500,42
