term,coefficient,coefficient_kind,inclusion
1,0.0,selected_full_refit_point_coefficient,0.026
V,0.0,selected_full_refit_point_coefficient,0.028
Bs,-0.7311252640766392,selected_full_refit_point_coefficient,1.0
n,0.0,selected_full_refit_point_coefficient,0.118
Pdyn,-0.896469523144789,selected_full_refit_point_coefficient,0.998
Dst_star,-0.05254736645358795,selected_full_refit_point_coefficient,1.0
V^2,0.0,selected_full_refit_point_coefficient,0.026
Bs^2,0.0,selected_full_refit_point_coefficient,0.0
n^2,0.0,selected_full_refit_point_coefficient,0.0
V*Bs,0.0,selected_full_refit_point_coefficient,0.0
n*V,0.0005443391551555351,selected_full_refit_point_coefficient,0.998
n*Bs,0.058657050490999035,selected_full_refit_point_coefficient,0.986
Pdyn*Bs,0.08762670100061405,selected_full_refit_point_coefficient,0.964
n*V*Bs,-0.00023440681152932838,selected_full_refit_point_coefficient,0.986
sin(θ_c/2),6.928450443175584,selected_full_refit_point_coefficient,1.0
sin²(θ_c/2),-38.7203669622234,selected_full_refit_point_coefficient,1.0
sin⁴(θ_c/2),-9.306535662532706,selected_full_refit_point_coefficient,1.0
sin^(8/3)(θ_c/2),42.01021693483194,selected_full_refit_point_coefficient,1.0
V*sin²(θ_c/2),0.0,selected_full_refit_point_coefficient,0.0
Newell_d_Φ,0.0,selected_full_refit_point_coefficient,0.0
