feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt,selector_weights,supported_model_steps
intercept,0.0,1.0,0.9665950746019872,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
latest_dst_nt,-12.40286753124402,17.52741407786734,-1.8793255456066937,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
V_kms,420.6391591715367,95.51618851071225,-1.1608382753159348,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_nt,-0.01985191291419487,2.9294977715733457,0.5544764009189839,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
By_nt,0.06328882869886504,3.623624522645422,-0.051674790578734725,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
n_cm3,5.981506778737875,4.901462614119934,0.3519808562919273,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Pdyn_npa,1.6269776254312125,1.2706227807944706,-3.264577061963314,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_nt,1.042553692608894,1.812361252293111,-1.787397005687898,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mvm,0.43965791147159705,0.7966941237739216,1.3255761628520755,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bperp_nt,3.85036811396428,2.625193416547578,-0.7667578616560432,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
clock_angle_sin2,0.502789328256119,0.3116978633444362,0.5331861415385539,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
sqrt_Pdyn_npa,1.2115422847851338,0.39892769777323966,1.5882626478914015,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_1h_nt,0.0006918581543579704,3.94031538540848,0.7806188163129318,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
dst_delta_3h_nt,0.0026791102998542683,8.097966434050495,-1.1181968789858863,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_delta_1h_nt,0.0004195310084936613,2.1120695790402726,0.2579138956429326,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_delta_1h_mvm,-5.607436739140022e-5,0.6058662203779479,-0.0674482742934719,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mean_3h_mvm,0.43889662903154575,0.6989211054667435,-0.8202744446198873,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_mean_3h_nt,1.0407293460713742,1.6070075664963344,0.1622070311328856,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
baseline_spread_nt,7.997156330499566,9.848285752250739,-1.2360215075181908,11.085103437252997,operational_v2_1_memory_expert_lead_ridge100.0_fit407598,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.934764532948105;9.072093134096713;8.944881791260213;14.248099358236066;12.09241639151274;10.087678297549799,5.117325400706611;5.700193485352453;5.5889356670052335;8.752484471845055;7.170721855609223;6.249432058508692,11.085103437252997;12.584027683758668;12.0;20.390095724741204;16.210050918693454;14.295541381992514,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
