feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt,selector_weights,supported_model_steps
intercept,0.0,1.0,0.8771129023585649,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
latest_dst_nt,-11.831887629374076,16.657199027601333,-0.3871491914351931,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
V_kms,420.564744537539,93.76526235001351,-1.0437622937215638,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_nt,-0.07740430425496961,2.739448094184543,-0.2838754653167653,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
By_nt,0.10894693609331361,3.4819472659570256,-0.14368428883449244,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
n_cm3,6.441973057335304,5.007853324564214,-0.6962834962283547,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Pdyn_npa,1.7467660430621408,1.250632647433005,-0.9210155993007155,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_nt,1.0008082799408575,1.6941835508221061,-1.1059093745473032,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mvm,0.42484686709380654,0.7456233946853669,0.3398440745040495,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bperp_nt,3.6623766693866844,2.4966685681838814,-0.13496172668600115,10.749175056244923,operational_v2_3_t1r_T1_magnetic_K25_alldev_memory_expert_lead_ridge100.0_fit365220,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,7.475653345829382;7.806605572284862;8.586702538784486;13.606945336227565;11.458917484353726;9.707825585422453,4.918917669137444;5.141584038855829;5.475428508843982;8.49829924366579;6.9368801272945815;6.111724882013477,10.749175056244923;11.275558208965531;12.0;19.805320399533656;15.767387076345967;13.976792336064534,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
