fold_year,variant,model_step_hours,depth_bin,half_width_nt,n,coverage_floor,source,calibration_note
2026,v2_4e,1,pooled,5.336623705168666,103863,0.9000038511900177,own,deploy_bundle_fold2026
2026,v2_4e,1,shallow,4.862460766478492,92337,0.9000086638220451,own,deploy_bundle_fold2026
2026,v2_4e,1,moderate,8.009752390818214,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,1,deep,17.48568167824321,1217,0.9006568144499179,own,deploy_bundle_fold2026
2026,v2_4e,2,pooled,8.722507178577976,103862,0.9000028884203229,own,deploy_bundle_fold2026
2026,v2_4e,2,shallow,8.011356808576277,92336,0.9000075809263892,own,deploy_bundle_fold2026
2026,v2_4e,2,moderate,12.217786861381036,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,2,deep,26.52764098465279,1217,0.9006568144499179,own,deploy_bundle_fold2026
2026,v2_4e,3,pooled,10.773388108863745,103861,0.9000019256320887,own,deploy_bundle_fold2026
2026,v2_4e,3,shallow,10.017528213059121,92335,0.9000064980072777,own,deploy_bundle_fold2026
2026,v2_4e,3,moderate,14.897679750404073,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,3,deep,31.85681423894016,1217,0.9006568144499179,own,deploy_bundle_fold2026
2026,v2_4e,4,pooled,12.163574198031736,103860,0.9000009628253146,own,deploy_bundle_fold2026
2026,v2_4e,4,shallow,11.323211549308425,92334,0.90000541506471,own,deploy_bundle_fold2026
2026,v2_4e,4,moderate,16.59262571075464,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,4,deep,35.444748646660045,1217,0.9006568144499179,own,deploy_bundle_fold2026
2026,v2_4e,6,pooled,14.044369502303413,103858,0.9000086655947005,own,deploy_bundle_fold2026
2026,v2_4e,6,shallow,13.089356225239012,92332,0.9000032491092026,own,deploy_bundle_fold2026
2026,v2_4e,6,moderate,19.318354358491362,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,6,deep,43.48814299838617,1217,0.9006568144499179,own,deploy_bundle_fold2026
2026,v2_4e,7,pooled,14.812748375229312,103857,0.9000077028250111,own,deploy_bundle_fold2026
2026,v2_4e,7,shallow,13.746732812537866,92331,0.9000021660962613,own,deploy_bundle_fold2026
2026,v2_4e,7,moderate,19.812366915657513,10309,0.9,own,deploy_bundle_fold2026
2026,v2_4e,7,deep,45.24938841353067,1217,0.9006568144499179,own,deploy_bundle_fold2026
