feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt,selector_weights,supported_model_steps
intercept,0.0,1.0,1.168791099034111,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
latest_dst_nt,-11.04000923426623,18.422344601028605,-0.20790277627493461,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
V_kms,422.0394676090354,94.53071195362944,-0.7598334391839132,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bz_nt,-0.08993464980821139,2.9784321859383134,-0.17426167011235827,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
By_nt,-0.019972652365392793,3.752173944829871,-0.10547264360810919,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
n_cm3,6.380987178576502,5.0521275401791925,-0.6611521740904146,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Pdyn_npa,1.745367218013517,1.3561225799491532,-1.0479790604856463,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bsouth_nt,1.0835958587867593,1.85487841018085,-0.535625685497106,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
VBsouth_mvm,0.46276783367665864,0.8561907202783775,0.026898381846605424,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
Bperp_nt,3.9264706420809805,2.7461173028235972,-0.11727928338019673,11.400788741079985,operational_v2_4_t1r_year2026_memory_expert_lead_ridge100.0_fit675744,v2,0.5,v2;sindy_v1;persistence;burton;burton_full;obrien,8.3037179721306;8.655230350554946;9.42762851815086;15.37276009393502;13.057870974466915;10.715095133945667,5.22071274432319;5.475949012867397;5.756384074442393;9.176758592503573;7.400556429983643;6.529204433422387,11.400788741079985;11.963005620384095;13.0;21.374313719783746;16.68370810151135;14.978497527293829,1.0;0.0;0.0;0.0;0.0;0.0,1;2;3;4;6;7
